fightWinScore,fightLoseScore,scareWinScore,threatWinScore,threatLoseScore,hawkFraction
54,-72,-60,-49,-61,0.0
33,-54,-79,10,-91,0.0
-25,45,54,-84,25,0.987
-92,-11,45,-1,62,0.325
-65,42,-77,71,10,0.0
-6,-31,-92,-19,100,0.0
-99,-10,-3,44,54,0.0
22,-62,-72,93,-82,0.0
-68,-86,26,-49,-70,0.526
-59,13,-25,-1,85,0.0
0,47,-50,-4,-27,0.0
25,-42,-62,-67,-70,0.032
11,-65,41,8,-63,0.753
45,-48,78,85,-90,0.91
-61,-59,66,-22,-84,0.647
-50,67,-67,-9,-3,0.0
15,-87,-52,27,57,0.0
-44,90,-63,-60,-34,0.997
27,-8,-55,42,-30,0.0
66,55,-58,46,8,0.0
26,7,57,-82,28,0.991
9,-57,71,-89,32,0.798
74,95,51,-57,66,0.79
-46,19,-56,-65,-58,0.212
58,18,32,81,42,0.5
61,78,-9,18,96,0.5
49,60,87,-99,2,0.993
13,-71,-77,-12,62,0.0
17,-84,-2,-56,25,0.286
1,81,94,-86,48,0.976
-86,-24,54,-94,20,0.631
0,91,-42,33,91,0.0
17,24,-89,-69,51,0.0
-60,-74,1,-87,-69,0.531
-24,-45,-54,-95,-27,0.0
52,91,-43,-94,-52,0.998
-12,-18,52,86,9,0.496
-48,-55,11,-49,48,0.187
90,56,-49,-82,-80,0.998
33,-91,73,-46,75,0.534
76,-18,69,7,-85,0.995
94,23,43,21,54,0.5
-48,-52,30,31,-8,0.273
76,-20,-86,19,0,0.0
-19,-62,-72,9,-82,0.0
-41,-95,-30,13,-70,0.0
-91,70,44,-6,-81,0.901
13,82,93,28,70,0.5
73,-32,80,-60,7,0.995
-30,-80,-82,-51,-25,0.0
12,87,-30,9,-52,0.992
-58,-81,61,38,-42,0.481
-48,55,-30,93,93,0.0
30,84,-26,-84,53,0.969
-34,-78,-65,57,74,0.0
-47,-69,38,-83,-92,0.65
58,-88,-43,36,-40,0.0
-23,66,-83,-32,-33,0.0
-17,-85,-72,26,-76,0.0
-43,-7,-83,-35,92,0.0
-69,12,-48,86,-92,0.0
-76,38,-68,-19,-58,0.0
-7,-83,36,-31,46,0.36
