fightWinScore,fightLoseScore,scareWinScore,threatWinScore,threatLoseScore,hawkFraction
-79,79,-86,-80,49,0.0
7,76,-51,75,-45,0.0
-84,-44,90,34,11,0.394
-34,-96,-98,94,65,0.0
-73,69,-50,54,-20,0.0
10,31,-78,54,44,0.0
-55,49,47,30,81,0.471
0,4,73,29,100,0.5
67,82,5,83,-34,0.55
75,87,15,-1,31,0.5
-42,43,48,-57,53,0.895
11,59,-82,47,73,0.0
-85,-11,100,100,88,0.443
-72,-67,86,63,-100,0.599
38,-42,-32,34,66,0.0
-14,-68,66,-65,46,0.651
-47,11,-51,-3,69,0.0
11,60,-31,-97,16,0.992
-4,24,-75,-79,51,0.0
63,97,-25,-18,-28,0.996
5,20,40,-63,-27,0.996
-79,79,-24,49,-53,0.0
90,39,11,6,-63,0.992
-52,-37,-98,57,32,0.0
56,-10,-14,34,-46,0.946
-83,53,89,52,-18,0.47
32,81,66,-94,-17,0.996
44,-64,-63,-10,-67,0.0
-91,8,91,-12,-76,0.793
-51,-68,-95,-51,-10,0.0
-76,-12,-56,-35,-28,0.0
60,73,85,-20,39,0.521
1,2,73,59,74,0.5
82,-38,74,-86,96,0.843
-2,-60,-2,-69,-28,0.589
-21,-50,-60,-81,-100,0.334
17,80,6,-67,5,0.995
83,-62,70,-16,62,0.477
61,1,-69,80,82,0.0
42,19,-30,81,-14,0.0
-88,26,-83,30,-15,0.0
-22,30,-90,3,-34,0.0
60,-81,-28,36,-9,0.0
36,69,0,-13,27,0.505
39,66,20,43,-59,0.954
-97,19,-64,77,-14,0.0
23,93,-30,22,-37,0.964
-94,-19,75,-35,81,0.405
14,38,88,47,-6,0.5
-14,44,100,1,16,0.5
-49,50,-64,91,69,0.0
-84,52,-3,59,-53,0.0
-83,-20,-2,72,-89,0.084
-64,19,45,-78,100,0.62
11,-12,63,-43,48,0.775
51,46,-75,74,-67,0.0
21,-98,38,7,-97,0.656
33,21,-62,35,-81,0.0
20,-90,-52,70,30,0.0
14,89,71,-4,-56,0.993
98,14,-42,-48,15,0.985
-23,-90,-72,15,13,0.0
-2,53,-34,18,-42,0.0
-66,26,-66,-7,-99,0.0
24,89,68,73,62,0.5
46,-77,74,-75,97,0.719
19,-49,-57,1,70,0.0
-82,-13,-50,-83,67,0.0
32,14,48,-81,-35,0.997
-2,-27,-81,56,-80,0.0
-59,88,-16,-62,96,0.0
-76,-71,42,-55,15,0.485
35,18,23,-36,-39,0.995
60,45,-63,-21,50,0.0
-10,-41,-73,100,-65,0.0
-53,-33,-19,-27,-32,0.124
-76,-37,-97,28,20,0.0
11,70,73,33,-45,0.945
10,58,42,24,21,0.5
-42,35,3,42,86,0.255
-76,29,64,98,30,0.45
-73,-50,24,-71,87,0.241
81,5,8,66,-45,0.644
-20,-45,74,59,90,0.463
-56,23,84,48,-98,0.857
39,47,-28,36,-7,0.0
-97,-30,12,24,26,0.112
-70,15,-44,-26,2,0.0
-61,20,62,-100,42,0.827
-67,-72,8,42,80,0.067
74,-55,-52,-62,-29,0.0
-55,83,-91,-71,-6,0.0
24,31,96,10,37,0.5
65,58,-9,6,-49,0.989
68,-38,82,-97,-36,0.997
77,73,-72,29,27,0.0
4,-53,-40,-55,-44,0.027
-97,2,-39,81,-25,0.0
72,-20,-81,-31,-4,0.0
-43,-82,-4,-48,-8,0.308
80,67,-57,17,30,0.0
-57,-43,-80,47,-91,0.0
66,4,-72,-80,-17,0.997
-53,89,48,7,-14,0.957
72,33,-85,-65,64,0.0
24,-24,-67,0,55,0.0
-99,86,-82,-100,-44,0.724
-33,39,-48,-73,-12,0.0
-33,33,54,-22,1,0.981
-98,-67,35,5,-51,0.431
-15,-10,-82,36,-51,0.0
58,70,-33,-76,62,0.936
-15,34,-70,-45,-84,0.0
-4,20,61,-24,93,0.505
-96,18,-72,-85,27,0.0
-97,42,59,-58,4,0.768
5,-80,-13,20,-2,0.0
-20,-18,56,59,-77,0.759
-55,-91,-11,-59,61,0.0
65,-3,-74,5,-57,0.0
9,75,-95,36,57,0.0
60,7,-49,49,36,0.0
-46,-22,-35,-41,26,0.0
73,49,-59,-97,-87,0.997
-13,-9,67,89,99,0.5
-20,37,44,87,-2,0.5
-100,13,-10,84,45,0.0
-7,79,33,47,4,0.5
56,-80,-87,-52,50,0.0
46,2,75,62,-62,0.879
-73,-7,67,15,65,0.418
21,-64,27,4,7,0.385
-31,33,26,-53,-46,0.993
7,-52,75,-63,-42,0.85
-43,-20,49,-3,-7,0.633
-35,-98,-90,73,44,0.0
-67,-12,76,60,-28,0.475
-88,-25,69,49,-14,0.379
-90,-11,21,43,-73,0.422
39,-9,-45,-98,-29,0.996
78,100,35,-62,3,0.994
-64,-22,68,-41,-90,0.747
73,-43,67,-41,-65,0.997
63,10,-3,1,-79,0.995
15,-3,-19,-64,-74,0.998
39,75,94,-63,19,0.988
1,48,43,-26,27,0.772
33,-25,73,-4,-43,0.993
-42,67,-49,-52,-87,0.996
-98,-34,-24,26,25,0.0
17,25,-28,-11,-41,0.994
-21,-78,-81,-60,57,0.0
-20,45,32,-81,88,0.848
82,-10,-52,73,-99,0.0
-42,-29,68,-15,74,0.456
34,33,98,69,-55,0.748
90,71,65,-81,-100,0.997
-67,100,-10,-87,-31,0.997
50,-46,28,23,-51,0.974
7,-82,37,25,-68,0.638
100,-90,95,-58,40,0.955
-37,99,-46,-74,30,0.979
25,65,76,-87,32,0.985
34,-99,-81,49,-69,0.0
-33,-2,-89,53,-2,0.0
-52,-20,83,19,-37,0.718
79,4,-14,-57,-93,0.998
28,79,39,61,-38,0.599
34,11,-2,-15,-74,0.994
3,42,42,28,-58,0.98
20,27,-66,20,63,0.0
32,71,95,60,-4,0.5
69,-7,-62,32,8,0.0
-12,75,-98,-13,-41,0.0
-75,90,-12,36,55,0.0
-84,29,40,61,-1,0.399
-19,31,96,64,-36,0.58
-67,-82,42,-5,13,0.25
76,39,-40,-86,63,0.954
-73,-38,-36,-100,-98,0.447
-33,-51,-44,-38,33,0.0
18,-76,-94,14,-20,0.0
7,10,76,-21,-33,0.994
42,-48,-77,74,-16,0.0
40,73,10,-79,-99,0.997
-66,-49,75,-23,-59,0.687
92,65,89,-68,3,0.995
23,-48,24,7,62,0.444
-4,-10,-96,-23,7,0.0
60,-86,-97,-77,28,0.0
44,-78,-89,63,-67,0.0
-1,-65,-36,-64,-20,0.0
-97,-3,-13,-16,74,0.0
89,-36,47,-5,23,0.496
-99,60,-80,62,71,0.0
69,-96,-12,80,-92,0.0
-20,57,48,30,98,0.5
-32,-48,36,-5,-6,0.526
66,-11,47,71,41,0.5
82,-28,20,47,-91,0.978
30,17,-11,-88,-92,1.0
-46,-77,-77,32,-45,0.0
-2,-39,51,-69,17,0.799
-10,-54,-60,15,8,0.0
-13,-44,83,84,67,0.471
-50,10,-37,44,46,0.0
-53,-64,-16,-18,-93,0.353
-21,-63,-59,16,-32,0.0
65,-32,30,-46,-35,0.997
85,61,-60,-46,-67,0.999
68,-33,-82,60,41,0.0
-19,27,82,12,66,0.5
20,28,39,15,-25,0.955
12,-56,-65,83,42,0.0
-5,24,-80,-24,-14,0.0
-34,-43,95,47,-94,0.747
3,-30,98,23,-21,0.684
-37,-26,18,82,20,0.277
95,-86,31,-82,93,0.76
-24,40,-9,-26,96,0.0
-69,-25,72,-9,-77,0.714
9,-23,71,9,49,0.499
-65,-98,-50,-55,24,0.0
71,-39,-61,24,-22,0.0
38,-87,-6,-78,20,0.484
-98,90,50,-39,-59,0.953
51,79,-78,-34,57,0.0
36,-58,-65,27,-85,0.0
55,-89,-43,-26,56,0.0
81,-78,-53,-57,46,0.0
28,-70,-88,26,-67,0.0
-83,8,27,69,-46,0.333
5,-63,-57,-7,72,0.0
58,65,14,-90,-52,0.997
-100,-70,-12,-61,-21,0.273
-20,55,9,-62,-46,0.998
0,82,42,-6,29,0.5
-20,10,94,-30,-8,0.958
91,-44,55,34,-95,0.99
-21,-96,100,-82,80,0.622
48,82,4,-49,-18,0.998
-10,-87,-98,72,66,0.0
68,-64,34,-43,76,0.544
-1,78,26,-76,-67,0.997
18,82,93,70,-1,0.5
10,54,-19,-40,20,0.976
16,-26,46,34,-16,0.51
54,50,11,47,60,0.5
13,38,-38,-8,-100,0.997
38,-78,-13,-88,90,0.0
-91,-80,-30,55,98,0.0
-68,-49,-43,95,-3,0.0
-93,-21,91,49,99,0.405
5,-78,98,-13,-50,0.79
-3,-95,-59,21,53,0.0
70,90,99,20,24,0.5
-21,59,37,-81,15,0.994
45,15,-52,-8,-35,0.0
89,21,-72,44,-95,0.0
-49,-91,-32,3,97,0.0
-81,72,-42,29,59,0.0
29,83,34,-49,-55,0.997
-71,88,72,-23,-15,0.995
-58,-70,-21,94,-28,0.0
-40,37,2,90,-57,0.312
-56,7,45,-83,-76,0.824
58,97,-10,-65,-80,0.996
22,-31,-58,97,-31,0.0
-97,96,54,-12,65,0.444
-35,63,-38,90,-25,0.0
-43,77,85,16,-95,0.994
62,27,-22,40,-63,0.966
72,74,25,-26,-71,0.994
-78,57,-5,-81,88,0.0
24,-72,13,-29,43,0.25
52,-10,66,29,-99,0.992
77,89,-22,27,-49,0.972
24,-22,66,-5,-51,0.993
10,58,-81,-75,37,0.0
96,13,-50,27,-18,0.0
-79,-39,46,13,32,0.31
100,-15,-32,-49,-98,0.999
-61,-3,-37,-59,38,0.0
-54,9,-70,73,-17,0.0
-61,65,91,-95,-37,0.998
90,-52,95,5,-62,0.993
-26,-63,-71,-32,-38,0.0
75,-36,14,-52,22,0.986
-35,-84,-34,1,-19,0.0
-2,-26,33,-44,-43,0.83
-16,-84,85,34,-39,0.623
91,26,-56,-3,-43,0.995
46,9,-4,16,96,0.5
97,-26,-52,38,3,0.0
72,-98,85,-98,-57,0.929
45,31,60,-50,9,0.993
77,51,69,33,-84,0.987
-23,-50,-90,-19,-42,0.0
55,76,3,-25,70,0.522
40,43,-63,36,-33,0.0
-77,-4,57,65,-79,0.62
63,-68,-94,-74,-82,0.0
49,14,78,-16,38,0.507
-6,-78,74,-75,-76,0.767
81,-47,67,0,-84,0.992
63,-74,-20,-11,1,0.0
45,25,96,25,-60,0.984
32,-24,63,-50,-99,0.998
52,53,28,70,7,0.5
84,76,-100,-48,38,0.0
13,23,-41,81,-53,0.0
93,50,-73,-20,52,0.0
84,-37,-68,-59,30,0.0
80,96,43,78,5,0.5
5,40,-35,61,-74,0.0
67,49,-67,23,68,0.0
58,87,-77,-49,14,0.0
-7,80,-33,-32,-84,0.997
42,-86,47,69,-96,0.736
-25,-30,-64,63,-35,0.0
26,75,-35,42,85,0.0
76,-3,27,-70,-3,0.992
70,87,-68,0,13,0.0
67,-46,-67,14,-50,0.0
-70,-55,-43,-11,-77,0.0
9,72,83,63,-74,0.935
37,43,16,-58,-83,0.997
95,77,-65,-7,70,0.0
82,6,1,-92,81,0.935
70,5,9,9,8,0.5
78,18,96,-77,75,0.896
13,-57,-64,1,8,0.0
-54,-52,16,-48,-67,0.571
-70,-60,42,58,9,0.272
67,89,35,-96,29,0.989
23,-49,98,-20,-57,0.909
44,96,21,-25,57,0.526
-4,-31,88,30,33,0.498
-75,-18,-63,29,79,0.0
-22,-10,-10,47,20,0.0
38,-76,-97,-24,-21,0.0
59,-8,14,28,68,0.5
33,49,-59,-67,71,0.0
-44,-60,-56,33,20,0.0
88,-4,-84,52,-16,0.0
-91,45,-54,-91,67,0.0
81,27,57,-96,-85,0.994
46,36,-63,-74,58,0.0
-74,85,0,-37,17,0.954
3,69,9,-10,-75,0.996
-89,-99,66,69,2,0.276
54,0,1,-25,98,0.516
79,-40,94,-27,-80,0.998
-64,53,-96,8,-49,0.0
-16,-13,14,13,83,0.413
85,67,-11,53,-71,0.952
61,-25,10,-19,2,0.987
77,84,7,-82,24,0.989
82,-15,52,-25,-70,0.996
7,49,-82,0,6,0.0
-37,-84,-23,70,19,0.0
-5,-76,-87,85,64,0.0
-21,37,-51,14,83,0.0
-47,-11,-40,38,-34,0.0
49,-39,-94,-75,-25,0.0
92,3,60,51,-80,0.967
-77,-75,57,86,-75,0.411
86,-48,-62,52,-100,0.0
18,-93,76,1,-35,0.719
-47,5,5,75,19,0.132
82,5,61,-2,86,0.5
23,39,11,40,3,0.5
90,99,88,53,-82,0.966
-29,-34,73,-10,76,0.477
58,15,33,13,-72,0.992
-87,10,35,-86,58,0.567
44,61,50,-34,23,0.949
-17,47,41,29,68,0.5
52,68,-3,3,-78,0.994
-6,-65,48,-9,43,0.407
11,-13,84,-12,-93,0.995
-57,-88,-41,-90,51,0.0
76,22,-22,100,89,0.47
54,77,-60,53,-43,0.0
65,62,-34,95,34,0.346
-99,-71,-90,-72,-69,0.0
-50,43,96,-87,-15,0.969
-97,-70,-84,-29,-11,0.0
10,65,47,20,30,0.5
95,54,-65,68,94,0.0
-3,-67,-86,60,83,0.0
94,3,72,8,57,0.5
8,-89,-24,90,93,0.0
88,43,49,-33,-50,0.997
-7,84,44,93,22,0.5
-100,74,63,55,7,0.414
-83,47,11,26,91,0.23
28,73,-32,-1,81,0.0
73,-62,39,-60,66,0.805
42,-70,70,64,-16,0.478
87,-94,76,-54,5,0.954
-98,67,-20,65,-15,0.0
-85,-90,-22,-57,59,0.0
50,-81,-75,48,-100,0.0
41,-43,-13,19,74,0.0
78,-45,-94,-60,87,0.0
-31,-28,-98,44,-46,0.0
21,-34,-44,54,-4,0.0
53,-10,-34,-77,-77,0.997
94,-67,35,100,38,0.467
-10,89,-38,79,-41,0.0
95,-20,-48,50,20,0.0
-49,-85,-3,10,-31,0.098
-9,-45,57,65,-92,0.709
39,51,57,13,52,0.5
37,-39,2,82,6,0.258
-42,70,-21,90,60,0.0
-20,-61,-13,-48,50,0.0
28,43,36,-81,-73,0.997
40,8,47,28,51,0.5
55,87,-76,23,10,0.0
-92,-86,-45,-11,24,0.0
90,-13,62,-21,-86,0.996
-27,93,23,77,-15,0.498
-25,1,-8,76,26,0.0
-3,78,-70,-78,-37,0.997
18,65,27,44,80,0.5
-77,72,26,0,43,0.402
56,-59,-79,85,-30,0.0
-53,30,94,-57,49,0.897
32,-19,14,86,-64,0.738
55,19,11,-66,-57,0.998
9,-31,43,13,-2,0.494
-60,10,59,49,-18,0.458
-42,-94,29,-66,33,0.412
-79,71,95,61,-93,0.946
-14,-24,17,31,57,0.383
56,19,-8,11,50,0.5
-92,-63,-47,44,-6,0.0
71,22,6,-30,98,0.523
-70,-73,-10,-96,68,0.0
-32,-89,-34,-95,-62,0.251
28,91,-94,72,-35,0.0
96,18,96,0,95,0.5
-42,-42,60,16,-27,0.607
61,-7,-16,90,-24,0.0
36,-30,-9,46,-61,0.885
-70,-18,-44,76,16,0.0
-95,-11,96,98,65,0.424
-64,32,12,75,34,0.275
28,19,-65,-57,-2,0.0
-77,96,19,-3,-51,0.993
-43,-46,78,-93,-92,0.763
-13,-51,-32,-41,-45,0.215
78,-74,23,55,94,0.415
8,-86,79,65,75,0.44
11,-36,-3,-45,-60,0.805
35,46,49,-40,67,0.594
39,-44,-42,84,26,0.0
-84,81,-37,22,47,0.0
54,94,28,90,18,0.5
-60,76,96,-34,-56,0.994
28,-14,68,31,-2,0.5
50,-73,-28,25,-29,0.0
-56,-89,-91,-13,-61,0.0
-3,74,10,-85,30,0.987
73,-51,-35,26,-14,0.0
55,-66,79,30,-6,0.475
-71,-27,-68,-89,80,0.0
-89,-11,83,-55,91,0.504
90,73,4,-27,-98,0.998
46,-64,-27,-96,-69,0.848
-65,94,-47,-93,-21,0.996
94,-68,61,-87,15,0.995
90,-98,15,99,96,0.307
41,37,-88,-1,-34,0.0
-7,-61,18,48,10,0.251
-81,-44,35,-48,90,0.277
6,-27,-80,4,-23,0.0
90,-45,-99,36,14,0.0
68,36,-21,-63,-49,0.999
-72,14,-59,-17,79,0.0
87,66,25,-29,-46,0.995
-94,-96,-79,54,49,0.0
17,-61,-24,-75,76,0.0
49,72,100,-16,8,0.967
37,68,-56,82,-25,0.0
-18,-66,80,59,96,0.446
37,-77,-60,19,17,0.0
-82,26,22,-98,41,0.635
34,12,68,7,97,0.5
52,57,13,83,-96,0.941
91,-97,-92,-100,43,0.0
26,15,5,-19,55,0.508
-69,-91,-62,15,-5,0.0
2,-85,-65,99,-81,0.0
21,-17,-45,-62,-6,0.0
-6,92,-47,64,-7,0.0
-2,-95,64,95,-44,0.424
57,85,-34,65,-62,0.845
9,-75,-71,97,-13,0.0
67,-32,-30,26,40,0.0
-15,53,-35,27,48,0.0
55,73,-26,81,-6,0.475
73,-86,77,-97,-52,0.965
80,-76,-62,-30,-99,0.0
-85,4,37,83,-47,0.368
36,12,18,-33,-44,0.996
8,-12,14,-8,-98,0.962
89,80,84,16,-8,0.5
67,43,71,-63,81,0.749
-43,96,-96,77,70,0.0
26,-3,23,43,52,0.5
-16,-26,-79,53,-100,0.0
-89,-52,10,32,-4,0.079
-99,38,43,6,34,0.376
44,90,37,-46,78,0.604
22,64,-67,-10,47,0.0
-40,-51,94,92,-9,0.436
-88,58,41,-6,-57,0.835
49,-83,88,58,-16,0.472
76,-12,-74,-19,18,0.0
-4,74,76,84,-19,0.504
-19,95,-67,78,63,0.0
98,-1,-40,-74,12,0.992
51,-54,82,56,-27,0.515
64,9,82,-23,-80,0.997
-100,-99,-92,29,-13,0.0
68,-80,26,30,93,0.396
-66,-49,96,15,-95,0.683
-3,-91,-75,-66,-94,0.0
43,79,84,-44,5,0.993
-67,-78,44,-20,-6,0.434
74,18,95,76,-94,0.947
7,-23,-54,-37,-21,0.0
55,52,-67,-4,-69,0.996
-31,80,-63,-10,-38,0.0
-20,-76,-4,-15,-53,0.377
-47,6,11,23,-17,0.269
0,-64,80,-23,77,0.472
-27,-21,-32,-58,-20,0.186
-40,56,92,-58,68,0.786
-48,28,82,98,99,0.488
72,65,-94,7,-45,0.0
65,6,30,-69,-65,0.995
-35,-95,-1,-32,36,0.0
-37,25,-75,-4,-27,0.0
90,66,51,-66,83,0.759
50,29,-46,-76,-82,0.999
-74,-25,-89,-58,-2,0.0
75,-33,-59,-100,-30,0.998
13,-72,-9,-28,-27,0.49
23,56,-83,84,56,0.0
-96,68,12,26,-84,0.734
80,6,20,-25,-91,0.996
24,-56,-86,-3,-73,0.0
-69,90,44,-77,-91,0.995
96,-62,53,44,-22,0.495
34,-1,7,97,43,0.5
-50,95,-14,24,-15,0.0
62,-13,-100,29,98,0.0
73,71,-32,52,1,0.465
-57,97,7,86,0,0.418
87,1,-89,62,-85,0.0
-90,-17,-100,13,67,0.0
94,22,-84,-15,-57,0.997
-33,56,-42,35,-47,0.0
-42,82,47,4,-47,0.992
-84,-51,19,-72,10,0.414
56,-5,-24,-72,20,0.99
-93,13,29,-14,-78,0.688
93,45,-6,69,-93,0.954
0,-46,-10,-89,20,0.404
-16,-32,-13,-85,89,0.0
-21,-29,-16,76,-18,0.0
-67,52,63,1,-11,0.911
43,-50,80,-1,54,0.48
-72,-85,97,99,-44,0.412
-95,8,65,-8,-23,0.662
49,-43,-28,-49,-57,0.993
56,7,-76,10,-64,0.0
0,-39,33,1,-82,0.758
51,-78,8,-75,-27,0.833
-20,-43,-45,-59,-84,0.304
-60,14,-67,-72,27,0.0
50,-34,-68,33,-69,0.0
-62,50,-34,-94,-84,0.868
-79,93,-71,-90,48,0.0
95,32,33,-40,-27,0.998
-26,-12,-85,-2,91,0.0
96,-84,2,-90,72,0.899
77,95,49,46,-32,0.594
3,27,-10,-43,0,0.992
-11,-56,37,0,-56,0.67
-28,70,24,84,26,0.497
-62,-68,34,-67,60,0.357
-35,60,-93,-49,-3,0.0
51,63,-89,-30,-77,0.996
40,-95,13,-95,-27,0.766
-93,97,-29,-3,-18,0.0
53,-45,95,36,-43,0.917
-63,-82,-100,-42,-21,0.0
-54,77,-23,-62,53,0.0
74,21,76,63,-73,0.924
-10,-43,-33,-41,100,0.0
-82,86,27,-44,37,0.873
93,40,-71,-35,-97,0.995
-43,90,-39,30,9,0.0
-56,-94,-90,-74,13,0.0
85,98,36,-24,92,0.505
-100,-94,-89,-57,72,0.0
31,34,32,-56,-64,0.996
78,-55,38,51,10,0.467
-74,27,-52,-66,92,0.0
-11,14,56,43,67,0.5
53,-84,-40,70,-52,0.0
-99,16,96,-42,-60,0.805
99,63,85,-82,0,0.995
-17,90,-72,82,-20,0.0
-81,-28,-8,40,52,0.0
-53,79,32,-46,-41,0.996
0,86,28,-9,-10,0.99
46,48,-26,-26,11,0.978
-9,-79,-58,-9,-55,0.0
-85,96,-81,-85,49,0.0
17,41,-95,79,71,0.0
-95,56,-67,70,67,0.0
-25,23,-52,76,-67,0.0
12,-18,-78,-27,13,0.0
41,-58,43,15,92,0.468
-2,25,-9,-20,-41,0.994
-94,-55,-53,-30,17,0.0
-14,2,-9,-8,-22,0.452
-17,-12,55,70,29,0.498
1,-20,98,29,-57,0.917
87,28,-6,-83,-97,0.998
-49,77,80,-49,9,0.989
9,-53,44,-45,23,0.714
-55,-52,6,-3,-61,0.411
-79,79,-5,20,-29,0.347
-19,44,28,-7,41,0.5
14,-75,-32,-75,-75,0.53
71,-80,3,-21,-69,0.92
52,49,58,-15,-67,0.996
74,-91,-73,-3,-50,0.0
64,72,93,69,47,0.5
-89,-37,-47,74,-25,0.0
-39,-38,-72,-22,68,0.0
95,-72,41,79,51,0.467
59,46,-57,64,-42,0.0
-80,-60,-1,-26,-25,0.349
62,64,-12,23,45,0.5
-77,31,91,70,15,0.456
-46,-12,-84,95,65,0.0
2,-30,-15,-21,-88,0.674
62,62,-66,17,29,0.0
57,-10,63,-75,81,0.852
-83,36,65,21,78,0.446
-42,-74,66,67,-29,0.381
27,15,-83,75,-79,0.0
36,-82,1,91,23,0.036
23,-9,-28,36,-82,0.0
62,-51,36,-65,82,0.728
-96,-68,-98,-8,52,0.0
27,-35,-2,-97,30,0.845
26,34,-13,-99,-81,0.995
85,-9,21,96,-61,0.666
-89,72,-34,-80,-38,0.8
-13,-39,-43,-97,91,0.0
74,87,67,-13,-59,0.995
-65,18,94,-69,30,0.835
-76,-74,18,-4,-34,0.333
-88,92,80,-27,-73,0.991
-89,88,-33,34,-98,0.0
74,-39,-13,-91,-48,0.997
-61,-5,-83,1,-59,0.0
-74,-57,-63,-41,59,0.0
24,9,-39,-12,-4,0.0
93,99,75,59,-55,0.843
21,-79,82,5,73,0.455
-3,9,-36,-18,-96,0.998
61,4,-5,-21,36,0.532
-34,36,28,39,-47,0.915
-8,-84,-48,37,-98,0.0
-4,-50,-66,6,-67,0.0
97,-40,-1,-86,-82,0.997
-80,-71,51,-76,31,0.488
29,12,72,71,85,0.5
-81,11,63,-22,-99,0.777
-86,88,-8,-78,59,0.606
59,41,7,-89,-90,0.998
52,0,1,-20,72,0.51
88,75,-29,-36,-63,0.998
-68,-59,54,-27,-5,0.542
-27,-44,-17,-49,0,0.0
20,-7,-68,85,42,0.0
99,-94,3,-61,-95,0.989
73,-20,-68,-61,-85,0.998
-80,75,-11,41,64,0.0
17,-75,49,-72,94,0.575
-43,-33,-37,-93,-34,0.227
67,98,14,-63,75,0.787
29,-3,93,55,3,0.5
64,-88,68,27,13,0.447
-75,51,13,-13,41,0.311
30,-57,22,-45,-30,0.827
-7,-26,11,-66,-14,0.724
58,2,16,-31,22,0.947
-64,83,-21,-72,-79,0.997
-74,-61,31,98,50,0.217
88,-78,-91,-88,-10,0.0
-63,-11,-96,90,9,0.0
21,51,-24,-4,-66,0.993
35,92,37,7,-11,0.921
43,41,-32,-27,-64,0.996
65,58,60,82,86,0.5
-69,2,17,48,-12,0.239
-51,-33,-82,-40,92,0.0
-66,-50,57,-14,97,0.347
-71,0,81,18,-9,0.451
68,5,43,32,80,0.5
-25,59,80,-9,48,0.5
-1,-9,-76,-16,-77,0.0
-45,73,97,-40,-93,0.998
-23,51,89,-14,66,0.501
-7,26,-39,87,-52,0.0
-18,-47,89,11,26,0.474
37,-66,61,38,-84,0.856
-81,23,0,-64,13,0.496
72,-71,-30,58,0,0.0
26,-95,-21,52,68,0.0
-12,-22,18,-33,38,0.5
71,23,82,18,-37,0.978
20,-18,40,60,84,0.5
-40,-18,43,42,35,0.444
-38,88,63,88,1,0.499
-67,-77,-12,70,-40,0.0
82,-88,-70,-54,-89,0.867
97,-100,-80,14,88,0.0
-65,-87,-86,82,43,0.0
56,-88,-25,-84,-43,0.716
57,82,40,-98,81,0.945
25,7,-47,81,-30,0.0
63,60,89,6,54,0.5
4,-32,-1,23,-93,0.649
79,-37,-76,84,-54,0.0
19,12,-14,48,11,0.0
-25,-68,97,-60,-42,0.774
-81,-24,23,60,-28,0.216
-88,93,-50,81,-53,0.0
-65,-77,-58,-76,-65,0.0
48,81,-92,56,-32,0.0
28,-39,29,78,59,0.485
36,0,49,-34,45,0.649
88,-42,40,79,-54,0.667
4,30,-9,50,55,0.496
28,-43,87,43,7,0.494
27,-78,48,-90,10,0.771
-57,14,-54,66,83,0.0
75,66,-7,53,57,0.5
-46,-83,-8,6,-87,0.269
-67,-73,-3,-81,31,0.23
16,-85,44,8,-77,0.709
-45,-38,2,89,10,0.033
-73,-23,98,-67,32,0.717
96,-31,42,98,7,0.497
-21,7,61,-5,67,0.498
3,66,-42,11,-47,0.991
26,10,-16,75,60,0.0
44,-96,29,88,47,0.328
-91,12,41,-21,73,0.344
66,66,32,20,52,0.5
1,46,1,-39,92,0.551
66,-70,-47,36,-63,0.0
81,-80,-10,87,84,0.0
86,28,-77,-16,-21,0.0
38,-64,57,2,-71,0.882
-13,-6,28,-11,12,0.605
56,-11,-74,-42,69,0.0
96,49,66,-91,-28,0.995
24,-72,-79,94,93,0.0
94,92,-7,3,-33,0.993
23,53,8,55,88,0.5
-66,55,-75,-29,24,0.0
-29,29,11,-20,-30,0.983
88,-83,-37,55,3,0.0
18,-37,-79,-97,-99,0.0
81,-3,-15,85,-82,0.874
-54,-68,89,19,-35,0.606
97,-5,-15,-41,-73,0.998
68,93,45,82,88,0.5
39,-39,53,-93,-41,0.986
-95,85,-63,-79,78,0.0
4,-22,75,-19,-5,0.903
-100,-98,32,-42,-56,0.45
-66,51,53,-51,69,0.651
59,8,-33,11,33,0.0
-73,-90,59,21,8,0.292
16,5,18,-54,-59,0.999
96,6,-1,-72,42,0.971
36,20,63,-7,49,0.5
90,92,-95,-89,-58,0.998
-20,60,55,62,-20,0.513
-46,44,-48,57,35,0.0
45,57,94,-85,71,0.942
8,25,-93,-54,95,0.0
-97,-100,-85,20,9,0.0
-13,-19,-35,68,66,0.0
88,17,-70,0,-40,0.0
-68,77,-13,-43,-14,0.987
-88,-22,100,-24,21,0.645
84,-42,-35,-22,35,0.0
-92,-29,65,-28,-28,0.633
-51,83,-86,-10,6,0.0
35,-72,-16,-63,-81,0.728
79,-3,47,-42,-11,0.998
92,24,-2,-65,-46,0.998
-53,30,-32,-56,78,0.0
-88,-56,-43,22,56,0.0
49,38,86,-62,-72,0.997
61,89,-63,91,32,0.0
8,3,-11,46,-92,0.982
70,50,-5,80,-92,0.934
15,-47,-30,-35,-57,0.474
-43,-11,20,-78,-57,0.739
-52,-56,-43,91,-74,0.0
-14,-44,-93,38,4,0.0
79,-33,82,38,-42,0.89
-94,53,-61,-63,43,0.0
-19,2,74,82,-97,0.916
21,-89,-50,35,-48,0.0
29,81,39,42,78,0.5
-16,-26,33,-94,72,0.64
-12,-83,-48,47,-64,0.0
36,64,-17,-3,71,0.494
44,4,38,60,-94,0.971
-53,75,8,-59,-6,0.994
-15,-88,95,20,84,0.408
-83,-6,83,-88,27,0.721
33,46,-78,4,67,0.0
-49,66,3,99,94,0.386
56,32,45,-91,-49,0.997
34,13,-18,91,13,0.0
40,-35,76,24,-76,0.988
16,-91,-14,-5,60,0.0
72,-94,70,-30,-70,0.913
59,70,91,-26,-51,0.999
